Week Ending Date,State,State Abbreviation,Median Number,Lower Bound,Upper Bound,Outcome,MMWR Year,MMWR Week,Rolling 4-Week Mean,Rolling 4-Week Lower,Rolling 4-Week Upper,AnalysisDate
10/16/2021,Florida,FL,123.91,105.29,145.84,Drug Overdose,2021,41,128.39,109.38,150.72,2022-02-04
10/23/2021,Florida,FL,122.46,103.97,144.24,Drug Overdose,2021,42,123.28,104.71,145.14,2022-02-04
10/30/2021,Florida,FL,112.58,95.02,133.40,Drug Overdose,2021,43,119.03,100.86,140.48,2022-02-04
01/02/2016,Florida,FL,19.15,14.63,25.07,Suicide,2015,52,,,,2022-02-04
01/09/2016,Florida,FL,48.22,39.03,59.56,Suicide,2016,1,,,,2022-02-04
02/04/2017,Hawaii,HI,,,,Drug Overdose,2017,5,,,,2022-02-04
01/16/2016,Florida,FL,56.42,46.11,69.03,Suicide,2016,2,,,,2022-02-04
01/23/2016,Florida,FL,53.47,43.57,65.63,Suicide,2016,3,44.32,35.84,54.82,2022-02-04
01/30/2016,Florida,FL,54.35,44.33,66.63,Suicide,2016,4,53.11,43.26,65.21,2022-02-04
02/06/2016,Florida,FL,53.77,43.83,65.96,Suicide,2016,5,54.50,44.46,66.81,2022-02-04
02/13/2016,Florida,FL,63.85,52.59,77.53,Suicide,2016,6,56.36,46.08,68.94,2022-02-04
02/20/2016,Florida,FL,51.85,42.18,63.75,Suicide,2016,7,55.96,45.73,68.47,2022-02-04
02/27/2016,Florida,FL,56.03,45.79,68.57,Suicide,2016,8,56.38,46.10,68.95,2022-02-04
03/05/2016,Florida,FL,58.62,48.03,71.54,Suicide,2016,9,57.59,47.15,70.35,2022-02-04
03/12/2016,Florida,FL,59.06,48.42,72.04,Suicide,2016,10,56.39,46.10,68.98,2022-02-04
03/19/2016,Florida,FL,62.76,51.64,76.28,Suicide,2016,11,59.12,48.47,72.11,2022-02-04
03/26/2016,Florida,FL,64.35,53.03,78.10,Suicide,2016,12,61.20,50.28,74.49,2022-02-04
04/02/2016,Florida,FL,57.60,47.15,70.37,Suicide,2016,13,60.94,50.06,74.20,2022-02-04
04/09/2016,Florida,FL,61.19,50.27,74.48,Suicide,2016,14,61.48,50.52,74.81,2022-02-04
04/16/2016,Florida,FL,53.23,43.37,65.34,Suicide,2016,15,59.09,48.45,72.07,2022-02-04
04/23/2016,Florida,FL,64.22,52.92,77.94,Suicide,2016,16,59.06,48.43,72.03,2022-02-04
04/30/2016,Florida,FL,63.98,52.71,77.67,Suicide,2016,17,60.65,49.81,73.86,2022-02-04
05/07/2016,Florida,FL,62.91,51.77,76.45,Suicide,2016,18,61.09,50.19,74.35,2022-02-04
05/14/2016,Florida,FL,64.78,53.41,78.59,Suicide,2016,19,63.97,52.70,77.66,2022-02-04
05/21/2016,Florida,FL,63.42,52.22,77.04,Suicide,2016,20,63.77,52.53,77.44,2022-02-04
05/28/2016,Florida,FL,53.92,43.96,66.14,Suicide,2016,21,61.26,50.34,74.55,2022-02-04
06/04/2016,Florida,FL,60.07,49.29,73.20,Suicide,2016,22,60.55,49.72,73.74,2022-02-04
06/11/2016,Florida,FL,69.38,57.44,83.82,Suicide,2016,23,61.70,50.73,75.05,2022-02-04
06/18/2016,Florida,FL,67.49,55.77,81.66,Suicide,2016,24,62.71,51.62,76.21,2022-02-04
06/25/2016,Florida,FL,59.93,49.17,73.04,Suicide,2016,25,64.22,52.92,77.93,2022-02-04
07/02/2016,Florida,FL,63.17,52.00,76.74,Suicide,2016,26,64.99,53.59,78.82,2022-02-04
07/09/2016,Florida,FL,74.61,62.04,89.73,Suicide,2016,27,66.30,54.75,80.30,2022-02-04
07/16/2016,Florida,FL,71.03,58.89,85.69,Suicide,2016,28,67.18,55.53,81.30,2022-02-04
07/23/2016,Florida,FL,64.27,52.96,77.99,Suicide,2016,29,68.27,56.47,82.54,2022-02-04
07/30/2016,Florida,FL,60.94,50.05,74.20,Suicide,2016,30,67.71,55.99,81.90,2022-02-04
08/06/2016,Florida,FL,63.01,51.86,76.56,Suicide,2016,31,64.81,53.44,78.61,2022-02-04
08/13/2016,Florida,FL,60.19,49.40,73.34,Suicide,2016,32,62.10,51.07,75.52,2022-02-04
08/20/2016,Florida,FL,62.93,51.79,76.47,Suicide,2016,33,61.77,50.78,75.14,2022-02-04
08/27/2016,Florida,FL,64.18,52.88,77.90,Suicide,2016,34,62.58,51.48,76.07,2022-02-04
09/03/2016,Florida,FL,62.98,51.83,76.52,Suicide,2016,35,62.57,51.48,76.06,2022-02-04
09/10/2016,Florida,FL,67.68,55.95,81.88,Suicide,2016,36,64.44,53.11,78.19,2022-02-04
09/17/2016,Florida,FL,68.24,56.44,82.52,Suicide,2016,37,65.77,54.28,79.71,2022-02-04
09/24/2016,Florida,FL,59.69,48.96,72.76,Suicide,2016,38,64.65,53.29,78.42,2022-02-04
10/01/2016,Florida,FL,59.18,48.52,72.18,Suicide,2016,39,63.70,52.47,77.34,2022-02-04
10/08/2016,Florida,FL,62.82,51.69,76.35,Suicide,2016,40,62.48,51.40,75.95,2022-02-04
10/15/2016,Florida,FL,66.55,54.96,80.60,Suicide,2016,41,62.06,51.03,75.47,2022-02-04
10/22/2016,Florida,FL,60.64,49.79,73.85,Suicide,2016,42,62.30,51.24,75.75,2022-02-04
10/29/2016,Florida,FL,55.60,45.41,68.07,Suicide,2016,43,61.40,50.46,74.72,2022-02-04
02/11/2017,Hawaii,HI,,,,Drug Overdose,2017,6,,,,2022-02-04
11/05/2016,Florida,FL,64.59,53.24,78.37,Suicide,2016,44,61.84,50.85,75.22,2022-02-04
11/12/2016,Florida,FL,59.52,48.82,72.58,Suicide,2016,45,60.09,49.31,73.22,2022-02-04
11/19/2016,Florida,FL,67.25,55.57,81.40,Suicide,2016,46,61.74,50.76,75.11,2022-02-04
11/26/2016,Florida,FL,61.47,50.51,74.81,Suicide,2016,47,63.21,52.03,76.79,2022-02-04
12/03/2016,Florida,FL,56.61,46.29,69.24,Suicide,2016,48,61.21,50.30,74.51,2022-02-04
12/10/2016,Florida,FL,57.80,47.32,70.60,Suicide,2016,49,60.78,49.92,74.01,2022-02-04
12/17/2016,Florida,FL,52.75,42.95,64.79,Suicide,2016,50,57.16,46.76,69.86,2022-02-04
12/24/2016,Florida,FL,54.70,44.63,67.04,Suicide,2016,51,55.46,45.29,67.92,2022-02-04
12/31/2016,Florida,FL,60.01,49.24,73.14,Suicide,2016,52,56.31,46.03,68.89,2022-02-04
01/07/2017,Florida,FL,64.27,52.96,78.00,Suicide,2017,1,57.93,47.44,70.74,2022-02-04
01/14/2017,Florida,FL,58.00,47.49,70.83,Suicide,2017,2,59.24,48.58,72.25,2022-02-04
01/21/2017,Florida,FL,60.39,49.57,73.57,Suicide,2017,3,60.67,49.81,73.89,2022-02-04
01/28/2017,Florida,FL,62.36,51.29,75.83,Suicide,2017,4,61.25,50.33,74.56,2022-02-04
02/04/2017,Florida,FL,51.84,42.17,63.74,Suicide,2017,5,58.15,47.63,70.99,2022-02-04
02/11/2017,Florida,FL,59.90,49.14,73.01,Suicide,2017,6,58.62,48.04,71.54,2022-02-04
02/18/2017,Florida,FL,66.98,55.33,81.09,Suicide,2017,7,60.27,49.48,73.42,2022-02-04
02/25/2017,Florida,FL,57.22,46.82,69.93,Suicide,2017,8,58.98,48.36,71.94,2022-02-04
03/04/2017,Florida,FL,60.40,49.58,73.58,Suicide,2017,9,61.12,50.22,74.40,2022-02-04
03/11/2017,Florida,FL,64.09,52.80,77.80,Suicide,2017,10,62.17,51.13,75.60,2022-02-04
03/18/2017,Florida,FL,62.74,51.63,76.26,Suicide,2017,11,61.11,50.21,74.39,2022-02-04
03/25/2017,Florida,FL,61.00,50.10,74.27,Suicide,2017,12,62.06,51.03,75.48,2022-02-04
04/01/2017,Florida,FL,69.82,57.82,84.31,Suicide,2017,13,64.41,53.09,78.16,2022-02-04
04/08/2017,Florida,FL,69.06,57.16,83.45,Suicide,2017,14,65.66,54.18,79.57,2022-02-04
04/15/2017,Florida,FL,64.28,52.97,78.01,Suicide,2017,15,66.04,54.51,80.01,2022-02-04
04/22/2017,Florida,FL,62.61,51.51,76.10,Suicide,2017,16,66.44,54.87,80.47,2022-02-04
04/29/2017,Florida,FL,64.29,52.98,78.02,Suicide,2017,17,65.06,53.66,78.90,2022-02-04
05/06/2017,Florida,FL,58.03,47.52,70.86,Suicide,2017,18,62.30,51.25,75.75,2022-02-04
05/13/2017,Florida,FL,65.06,53.65,78.90,Suicide,2017,19,62.50,51.42,75.97,2022-02-04
05/20/2017,Florida,FL,69.37,57.43,83.80,Suicide,2017,20,64.19,52.90,77.89,2022-02-04
05/27/2017,Florida,FL,65.44,53.98,79.33,Suicide,2017,21,64.47,53.15,78.22,2022-02-04
06/03/2017,Florida,FL,76.05,63.31,91.35,Suicide,2017,22,68.98,57.09,83.34,2022-02-04
06/10/2017,Florida,FL,68.06,56.28,82.31,Suicide,2017,23,69.73,57.75,84.20,2022-02-04
06/17/2017,Florida,FL,62.06,51.04,75.48,Suicide,2017,24,67.90,56.15,82.12,2022-02-04
06/24/2017,Florida,FL,64.00,52.72,77.68,Suicide,2017,25,67.54,55.84,81.71,2022-02-04
07/01/2017,Florida,FL,64.13,52.84,77.84,Suicide,2017,26,64.56,53.22,78.33,2022-02-04
07/08/2017,Florida,FL,68.91,57.02,83.27,Suicide,2017,27,64.77,53.40,78.57,2022-02-04
07/15/2017,Florida,FL,61.64,50.66,74.99,Suicide,2017,28,64.67,53.31,78.45,2022-02-04
07/22/2017,Florida,FL,61.92,50.91,75.31,Suicide,2017,29,64.15,52.86,77.85,2022-02-04
07/29/2017,Florida,FL,68.37,56.56,82.66,Suicide,2017,30,65.21,53.79,79.06,2022-02-04
08/05/2017,Florida,FL,66.59,54.99,80.64,Suicide,2017,31,64.63,53.28,78.40,2022-02-04
08/12/2017,Florida,FL,79.38,66.26,95.11,Suicide,2017,32,69.07,57.18,83.43,2022-02-04
08/19/2017,Florida,FL,62.05,51.02,75.46,Suicide,2017,33,69.10,57.21,83.47,2022-02-04
02/18/2017,Hawaii,HI,,,,Drug Overdose,2017,7,,,,2022-02-04
08/26/2017,Florida,FL,68.76,56.89,83.10,Suicide,2017,34,69.19,57.29,83.58,2022-02-04
09/02/2017,Florida,FL,69.48,57.53,83.92,Suicide,2017,35,69.92,57.92,84.40,2022-02-04
09/09/2017,Florida,FL,55.82,45.60,68.32,Suicide,2017,36,64.03,52.76,77.70,2022-02-04
09/16/2017,Florida,FL,65.89,54.38,79.85,Suicide,2017,37,64.99,53.60,78.80,2022-02-04
09/23/2017,Florida,FL,67.38,55.68,81.53,Suicide,2017,38,64.64,53.30,78.40,2022-02-04
09/30/2017,Florida,FL,68.68,56.83,83.02,Suicide,2017,39,64.44,53.12,78.18,2022-02-04
10/07/2017,Florida,FL,77.57,64.66,93.07,Suicide,2017,40,69.88,57.89,84.37,2022-02-04
10/14/2017,Florida,FL,74.15,61.64,89.21,Suicide,2017,41,71.95,59.70,86.71,2022-02-04
10/21/2017,Florida,FL,57.72,47.25,70.50,Suicide,2017,42,69.53,57.60,83.95,2022-02-04
10/28/2017,Florida,FL,62.49,51.40,75.97,Suicide,2017,43,67.98,56.24,82.19,2022-02-04
11/04/2017,Florida,FL,63.74,52.49,77.39,Suicide,2017,44,64.52,53.20,78.27,2022-02-04
11/11/2017,Florida,FL,61.38,50.44,74.71,Suicide,2017,45,61.33,50.40,74.64,2022-02-04
11/18/2017,Florida,FL,70.75,58.64,85.37,Suicide,2017,46,64.59,53.24,78.36,2022-02-04
11/25/2017,Florida,FL,55.98,45.74,68.51,Suicide,2017,47,62.96,51.83,76.49,2022-02-04
12/02/2017,Florida,FL,61.28,50.35,74.59,Suicide,2017,48,62.35,51.29,75.79,2022-02-04
12/09/2017,Florida,FL,67.07,55.41,81.19,Suicide,2017,49,63.77,52.53,77.41,2022-02-04
12/16/2017,Florida,FL,59.85,49.10,72.95,Suicide,2017,50,61.04,50.15,74.31,2022-02-04
12/23/2017,Florida,FL,53.14,43.29,65.24,Suicide,2017,51,60.33,49.54,73.49,2022-02-04
12/30/2017,Florida,FL,60.05,49.27,73.19,Suicide,2017,52,60.03,49.27,73.14,2022-02-04
01/06/2018,Florida,FL,61.34,50.40,74.66,Suicide,2018,1,58.59,48.02,71.51,2022-02-04
01/13/2018,Florida,FL,63.80,52.55,77.46,Suicide,2018,2,59.58,48.88,72.64,2022-02-04
01/20/2018,Florida,FL,55.39,45.24,67.84,Suicide,2018,3,60.15,49.36,73.29,2022-02-04
01/27/2018,Florida,FL,71.49,59.29,86.20,Suicide,2018,4,63.01,51.87,76.54,2022-02-04
02/03/2018,Florida,FL,70.14,58.10,84.67,Suicide,2018,5,65.20,53.79,79.04,2022-02-04
02/10/2018,Florida,FL,70.74,58.63,85.35,Suicide,2018,6,66.94,55.31,81.01,2022-02-04
02/17/2018,Florida,FL,69.01,57.11,83.39,Suicide,2018,7,70.34,58.28,84.90,2022-02-04
02/24/2018,Florida,FL,76.64,63.83,92.03,Suicide,2018,8,71.63,59.42,86.36,2022-02-04
03/03/2018,Florida,FL,62.99,51.84,76.54,Suicide,2018,9,69.84,57.85,84.33,2022-02-04
03/10/2018,Florida,FL,64.33,53.02,78.07,Suicide,2018,10,68.24,56.45,82.51,2022-02-04
03/17/2018,Florida,FL,60.72,49.87,73.95,Suicide,2018,11,66.17,54.64,80.15,2022-02-04
03/24/2018,Florida,FL,51.49,41.86,63.33,Suicide,2018,12,59.89,49.15,72.97,2022-02-04
03/31/2018,Florida,FL,65.28,53.84,79.14,Suicide,2018,13,60.46,49.65,73.62,2022-02-04
04/07/2018,Florida,FL,67.44,55.73,81.60,Suicide,2018,14,61.23,50.33,74.51,2022-02-04
04/14/2018,Florida,FL,64.81,53.44,78.62,Suicide,2018,15,62.26,51.22,75.67,2022-02-04
04/21/2018,Florida,FL,67.17,55.50,81.30,Suicide,2018,16,66.17,54.63,80.17,2022-02-04
04/28/2018,Florida,FL,73.30,60.89,88.25,Suicide,2018,17,68.18,56.39,82.44,2022-02-04
05/05/2018,Florida,FL,73.43,61.01,88.40,Suicide,2018,18,69.68,57.71,84.14,2022-02-04
05/12/2018,Florida,FL,65.00,53.60,78.83,Suicide,2018,19,69.73,57.75,84.20,2022-02-04
05/19/2018,Florida,FL,61.09,50.18,74.36,Suicide,2018,20,68.21,56.42,82.46,2022-02-04
05/26/2018,Florida,FL,64.27,52.96,78.00,Suicide,2018,21,65.95,54.44,79.90,2022-02-04
06/02/2018,Florida,FL,54.23,44.23,66.49,Suicide,2018,22,61.15,50.24,74.42,2022-02-04
06/09/2018,Florida,FL,76.59,63.80,91.97,Suicide,2018,23,64.05,52.79,77.71,2022-02-04
06/16/2018,Florida,FL,71.91,59.66,86.67,Suicide,2018,24,66.75,55.16,80.78,2022-02-04
06/23/2018,Florida,FL,79.46,66.33,95.19,Suicide,2018,25,70.55,58.50,85.08,2022-02-04
06/30/2018,Florida,FL,74.52,61.97,89.63,Suicide,2018,26,75.62,62.94,90.86,2022-02-04
07/07/2018,Florida,FL,78.90,65.83,94.56,Suicide,2018,27,76.20,63.45,91.51,2022-02-04
07/14/2018,Florida,FL,66.41,54.83,80.43,Suicide,2018,28,74.82,62.24,89.95,2022-02-04
07/21/2018,Florida,FL,69.72,57.74,84.19,Suicide,2018,29,72.39,60.09,87.20,2022-02-04
07/28/2018,Florida,FL,73.47,61.04,88.44,Suicide,2018,30,72.12,59.86,86.91,2022-02-04
08/04/2018,Florida,FL,68.06,56.28,82.31,Suicide,2018,31,69.41,57.47,83.84,2022-02-04
08/11/2018,Florida,FL,79.63,66.48,95.38,Suicide,2018,32,72.72,60.38,87.58,2022-02-04
08/18/2018,Florida,FL,71.73,59.51,86.47,Suicide,2018,33,73.22,60.83,88.15,2022-02-04
08/25/2018,Florida,FL,60.83,49.96,74.07,Suicide,2018,34,70.06,58.06,84.56,2022-02-04
09/01/2018,Florida,FL,69.99,57.98,84.50,Suicide,2018,35,70.55,58.48,85.11,2022-02-04
09/08/2018,Florida,FL,67.93,56.17,82.16,Suicide,2018,36,67.62,55.90,81.80,2022-02-04
09/15/2018,Florida,FL,69.71,57.73,84.18,Suicide,2018,37,67.12,55.46,81.23,2022-02-04
09/22/2018,Florida,FL,86.67,72.73,103.29,Suicide,2018,38,73.58,61.15,88.53,2022-02-04
09/29/2018,Florida,FL,80.73,67.45,96.63,Suicide,2018,39,76.26,63.52,91.56,2022-02-04
10/06/2018,Florida,FL,74.72,62.14,89.86,Suicide,2018,40,77.96,65.02,93.49,2022-02-04
10/13/2018,Florida,FL,79.04,65.96,94.73,Suicide,2018,41,80.29,67.07,96.13,2022-02-04
10/20/2018,Florida,FL,64.05,52.77,77.75,Suicide,2018,42,74.64,62.08,89.74,2022-02-04
10/27/2018,Florida,FL,66.38,54.81,80.41,Suicide,2018,43,71.05,58.92,85.69,2022-02-04
11/03/2018,Florida,FL,65.62,54.14,79.54,Suicide,2018,44,68.77,56.92,83.11,2022-02-04
11/10/2018,Florida,FL,59.72,48.99,72.80,Suicide,2018,45,63.94,52.68,77.62,2022-02-04
11/17/2018,Florida,FL,80.49,67.23,96.37,Suicide,2018,46,68.05,56.29,82.28,2022-02-04
11/24/2018,Florida,FL,53.84,43.89,66.04,Suicide,2018,47,64.92,53.56,78.69,2022-02-04
12/01/2018,Florida,FL,69.03,57.13,83.42,Suicide,2018,48,65.77,54.31,79.66,2022-02-04
12/08/2018,Florida,FL,82.66,69.16,98.81,Suicide,2018,49,71.50,59.35,86.16,2022-02-04
12/15/2018,Florida,FL,68.04,56.26,82.30,Suicide,2018,50,68.39,56.61,82.64,2022-02-04
12/22/2018,Florida,FL,58.32,47.77,71.20,Suicide,2018,51,69.51,57.58,83.93,2022-02-04
12/29/2018,Florida,FL,61.07,50.16,74.35,Suicide,2018,52,67.52,55.84,81.66,2022-02-04
01/05/2019,Florida,FL,71.27,59.10,85.96,Suicide,2019,1,64.68,53.32,78.45,2022-02-04
01/12/2019,Florida,FL,65.79,54.29,79.73,Suicide,2019,2,64.11,52.83,77.81,2022-02-04
01/19/2019,Florida,FL,68.59,56.74,82.92,Suicide,2019,3,66.68,55.07,80.74,2022-02-04
01/26/2019,Florida,FL,62.46,51.37,75.94,Suicide,2019,4,67.03,55.37,81.14,2022-02-04
02/02/2019,Florida,FL,56.06,45.81,68.60,Suicide,2019,5,63.22,52.05,76.80,2022-02-04
02/09/2019,Florida,FL,68.63,56.78,82.97,Suicide,2019,6,63.93,52.68,77.61,2022-02-04
02/16/2019,Florida,FL,71.07,58.92,85.73,Suicide,2019,7,64.55,53.22,78.31,2022-02-04
02/23/2019,Florida,FL,65.36,53.91,79.24,Suicide,2019,8,65.28,53.86,79.13,2022-02-04
03/02/2019,Florida,FL,70.26,58.21,84.81,Suicide,2019,9,68.83,56.96,83.19,2022-02-04
03/09/2019,Florida,FL,70.37,58.31,84.93,Suicide,2019,10,69.26,57.34,83.68,2022-02-04
03/16/2019,Florida,FL,73.84,61.36,88.86,Suicide,2019,11,69.96,57.95,84.46,2022-02-04
03/23/2019,Florida,FL,63.11,51.95,76.68,Suicide,2019,12,69.40,57.46,83.82,2022-02-04
03/30/2019,Florida,FL,67.57,55.85,81.75,Suicide,2019,13,68.72,56.87,83.06,2022-02-04
02/25/2017,Hawaii,HI,,,,Drug Overdose,2017,8,,,,2022-02-04
04/06/2019,Florida,FL,64.30,52.99,78.03,Suicide,2019,14,67.21,55.54,81.33,2022-02-04
04/13/2019,Florida,FL,76.38,63.61,91.73,Suicide,2019,15,67.84,56.10,82.05,2022-02-04
04/20/2019,Florida,FL,65.31,53.87,79.18,Suicide,2019,16,68.39,56.58,82.67,2022-02-04
04/27/2019,Florida,FL,71.08,58.93,85.74,Suicide,2019,17,69.27,57.35,83.67,2022-02-04
05/04/2019,Florida,FL,65.66,54.18,79.58,Suicide,2019,18,69.61,57.65,84.06,2022-02-04
05/11/2019,Florida,FL,68.85,56.98,83.21,Suicide,2019,19,67.73,55.99,81.93,2022-02-04
05/18/2019,Florida,FL,73.01,60.63,87.93,Suicide,2019,20,69.65,57.68,84.12,2022-02-04
05/25/2019,Florida,FL,68.68,56.82,83.01,Suicide,2019,21,69.05,57.15,83.43,2022-02-04
06/01/2019,Florida,FL,62.44,51.36,75.91,Suicide,2019,22,68.25,56.45,82.52,2022-02-04
06/08/2019,Florida,FL,71.24,59.07,85.91,Suicide,2019,23,68.84,56.97,83.19,2022-02-04
06/15/2019,Florida,FL,73.68,61.23,88.69,Suicide,2019,24,69.01,57.12,83.38,2022-02-04
06/22/2019,Florida,FL,66.91,55.27,81.01,Suicide,2019,25,68.57,56.73,82.88,2022-02-04
06/29/2019,Florida,FL,64.66,53.30,78.44,Suicide,2019,26,69.12,57.22,83.51,2022-02-04
07/06/2019,Florida,FL,73.78,61.31,88.79,Suicide,2019,27,69.76,57.78,84.23,2022-02-04
07/13/2019,Florida,FL,64.83,53.45,78.63,Suicide,2019,28,67.54,55.83,81.72,2022-02-04
07/20/2019,Florida,FL,74.80,62.21,89.94,Suicide,2019,29,69.52,57.57,83.95,2022-02-04
07/27/2019,Florida,FL,63.88,52.62,77.55,Suicide,2019,30,69.32,57.40,83.73,2022-02-04
08/03/2019,Florida,FL,61.36,50.42,74.67,Suicide,2019,31,66.21,54.67,80.20,2022-02-04
08/10/2019,Florida,FL,61.56,50.60,74.91,Suicide,2019,32,65.40,53.96,79.27,2022-02-04
08/17/2019,Florida,FL,67.70,55.96,81.90,Suicide,2019,33,63.62,52.40,77.26,2022-02-04
08/24/2019,Florida,FL,77.99,65.03,93.54,Suicide,2019,34,67.15,55.50,81.26,2022-02-04
08/31/2019,Florida,FL,62.88,51.75,76.41,Suicide,2019,35,67.53,55.83,81.69,2022-02-04
09/07/2019,Florida,FL,79.75,66.59,95.52,Suicide,2019,36,72.08,59.83,86.84,2022-02-04
09/14/2019,Florida,FL,69.09,57.18,83.48,Suicide,2019,37,72.43,60.14,87.24,2022-02-04
09/21/2019,Florida,FL,64.79,53.42,78.59,Suicide,2019,38,69.13,57.23,83.50,2022-02-04
09/28/2019,Florida,FL,61.07,50.17,74.34,Suicide,2019,39,68.67,56.84,82.98,2022-02-04
10/05/2019,Florida,FL,60.56,49.72,73.76,Suicide,2019,40,63.88,52.62,77.54,2022-02-04
10/12/2019,Florida,FL,71.32,59.15,86.02,Suicide,2019,41,64.44,53.11,78.18,2022-02-04
10/19/2019,Florida,FL,76.56,63.76,91.94,Suicide,2019,42,67.38,55.70,81.51,2022-02-04
10/26/2019,Florida,FL,71.77,59.54,86.52,Suicide,2019,43,70.05,58.04,84.56,2022-02-04
11/02/2019,Florida,FL,65.72,54.23,79.66,Suicide,2019,44,71.34,59.17,86.03,2022-02-04
11/09/2019,Florida,FL,59.50,48.80,72.55,Suicide,2019,45,68.39,56.58,82.67,2022-02-04
11/16/2019,Florida,FL,67.47,55.76,81.65,Suicide,2019,46,66.12,54.58,80.09,2022-02-04
11/23/2019,Florida,FL,59.72,48.99,72.81,Suicide,2019,47,63.10,51.95,76.67,2022-02-04
11/30/2019,Florida,FL,57.71,47.25,70.51,Suicide,2019,48,61.10,50.20,74.38,2022-02-04
12/07/2019,Florida,FL,61.73,50.74,75.10,Suicide,2019,49,61.66,50.68,75.01,2022-02-04
12/14/2019,Florida,FL,60.96,50.07,74.22,Suicide,2019,50,60.03,49.26,73.16,2022-02-04
12/21/2019,Florida,FL,59.41,48.72,72.45,Suicide,2019,51,59.95,49.19,73.07,2022-02-04
12/28/2019,Florida,FL,54.65,44.59,66.98,Suicide,2019,52,59.18,48.53,72.19,2022-02-04
01/04/2020,Florida,FL,64.81,53.43,78.62,Suicide,2020,1,59.96,49.20,73.07,2022-02-04
01/11/2020,Florida,FL,71.34,59.16,86.03,Suicide,2020,2,62.55,51.47,76.02,2022-02-04
01/18/2020,Florida,FL,67.06,55.40,81.18,Suicide,2020,3,64.46,53.15,78.20,2022-02-04
01/25/2020,Florida,FL,56.69,46.36,69.33,Suicide,2020,4,64.98,53.59,78.79,2022-02-04
02/01/2020,Florida,FL,62.14,51.10,75.57,Suicide,2020,5,64.31,53.01,78.03,2022-02-04
02/08/2020,Florida,FL,64.25,52.94,77.98,Suicide,2020,6,62.53,51.45,76.01,2022-02-04
02/15/2020,Florida,FL,70.27,58.22,84.82,Suicide,2020,7,63.34,52.15,76.92,2022-02-04
02/22/2020,Florida,FL,65.15,53.73,79.00,Suicide,2020,8,65.45,54.00,79.34,2022-02-04
02/29/2020,Florida,FL,61.45,50.50,74.78,Suicide,2020,9,65.28,53.85,79.14,2022-02-04
03/07/2020,Florida,FL,65.92,54.40,79.88,Suicide,2020,10,65.70,54.21,79.62,2022-02-04
03/14/2020,Florida,FL,62.38,51.31,75.85,Suicide,2020,11,63.73,52.49,77.38,2022-02-04
03/21/2020,Florida,FL,69.11,57.20,83.50,Suicide,2020,12,64.72,53.35,78.50,2022-02-04
03/28/2020,Florida,FL,57.64,47.18,70.42,Suicide,2020,13,63.76,52.52,77.41,2022-02-04
04/04/2020,Florida,FL,57.55,47.10,70.31,Suicide,2020,14,61.67,50.70,75.02,2022-02-04
04/11/2020,Florida,FL,52.51,42.74,64.52,Suicide,2020,15,59.20,48.56,72.19,2022-02-04
04/18/2020,Florida,FL,61.71,50.73,75.09,Suicide,2020,16,57.35,46.94,70.08,2022-02-04
04/25/2020,Florida,FL,56.12,45.87,68.67,Suicide,2020,17,56.97,46.61,69.65,2022-02-04
05/02/2020,Florida,FL,55.97,45.74,68.51,Suicide,2020,18,56.58,46.27,69.20,2022-02-04
05/09/2020,Florida,FL,51.89,42.21,63.80,Suicide,2020,19,56.43,46.13,69.02,2022-02-04
05/16/2020,Florida,FL,53.36,43.48,65.50,Suicide,2020,20,54.34,44.32,66.62,2022-02-04
05/23/2020,Florida,FL,63.78,52.53,77.44,Suicide,2020,21,56.25,45.99,68.81,2022-02-04
05/30/2020,Florida,FL,62.38,51.31,75.85,Suicide,2020,22,57.85,47.38,70.65,2022-02-04
06/06/2020,Florida,FL,60.61,49.77,73.82,Suicide,2020,23,60.03,49.27,73.15,2022-02-04
06/13/2020,Florida,FL,64.56,53.22,78.33,Suicide,2020,24,62.83,51.71,76.36,2022-02-04
06/20/2020,Florida,FL,65.06,53.65,78.90,Suicide,2020,25,63.16,51.99,76.73,2022-02-04
06/27/2020,Florida,FL,62.79,51.67,76.32,Suicide,2020,26,63.26,52.08,76.84,2022-02-04
07/04/2020,Florida,FL,71.96,59.71,86.74,Suicide,2020,27,66.09,54.56,80.07,2022-02-04
07/11/2020,Florida,FL,61.55,50.59,74.90,Suicide,2020,28,65.34,53.90,79.21,2022-02-04
07/18/2020,Florida,FL,71.49,59.30,86.20,Suicide,2020,29,66.95,55.32,81.04,2022-02-04
07/25/2020,Florida,FL,81.39,68.04,97.37,Suicide,2020,30,71.60,59.41,86.30,2022-02-04
08/01/2020,Florida,FL,58.47,47.91,71.37,Suicide,2020,31,68.23,56.46,82.46,2022-02-04
08/08/2020,Florida,FL,63.45,52.25,77.07,Suicide,2020,32,68.70,56.87,83.00,2022-02-04
08/15/2020,Florida,FL,69.28,57.35,83.70,Suicide,2020,33,68.15,56.39,82.38,2022-02-04
08/22/2020,Florida,FL,56.78,46.44,69.43,Suicide,2020,34,62.00,50.99,75.39,2022-02-04
08/29/2020,Florida,FL,59.54,48.84,72.59,Suicide,2020,35,62.26,51.22,75.70,2022-02-04
09/05/2020,Florida,FL,71.39,59.21,86.10,Suicide,2020,36,64.25,52.96,77.95,2022-02-04
09/12/2020,Florida,FL,69.84,57.84,84.34,Suicide,2020,37,64.39,53.08,78.11,2022-02-04
